hospital_id,day,open_minutes,hospital_open_cost,or_open_cost
0,0,480.0,1634.0152284506407,5567.306025482287
0,1,420.0,1528.782676313339,4793.085564642541
0,2,465.0,2255.137255673619,5244.1734004557475
0,3,420.0,2120.3095513534645,5724.72741749349
0,4,480.0,2204.0797680992237,5899.041247315285
1,0,450.0,1712.9641615089108,4294.146961858076
1,1,480.0,1636.3714755867697,5853.175250322989
1,2,450.0,1514.5446656678819,4984.232586159076
1,3,480.0,1850.587558806597,4516.4887765979165
1,4,435.0,2089.917686854633,4918.271512476523
2,0,420.0,1892.2440450997324,5960.065150570954
2,1,420.0,1937.474922023729,4985.236187985739
2,2,435.0,2404.1586944937485,4657.503220575017
2,3,450.0,1848.2554670233003,5266.801708633451
2,4,420.0,2013.9894891598108,4480.2912375563865
