hospital_id,day,open_minutes,hospital_open_cost,or_open_cost
0,0,480.0,1679.3646820122106,5937.074663399784
0,1,435.0,2470.676545409744,5207.27440111875
0,2,480.0,1613.3035047274643,4153.9589341299325
0,3,435.0,1903.6010023615913,4151.167227708134
0,4,420.0,2237.8849848346063,5902.846441691132
1,0,420.0,2204.5544280274453,4594.5815806146675
1,1,420.0,1922.7286368939322,4184.133972164951
1,2,435.0,1846.5241679527182,5198.089174300763
1,3,420.0,1897.6123785528705,5247.297556580532
1,4,420.0,1764.2762631586393,5297.0096402373765
2,0,450.0,1705.3329387067997,4534.8040557150825
2,1,420.0,1983.03969755889,4030.22136842895
2,2,480.0,1768.5337560676073,5930.030738908944
2,3,435.0,1787.46166489725,4501.786091382205
2,4,450.0,2156.756063474557,5352.052576105095
