hospital_id,day,open_minutes,hospital_open_cost,or_open_cost
0,0,420.0,2210.884716682319,5898.224286178881
0,1,420.0,2406.942808834834,5025.804832294395
0,2,465.0,1632.3723790349725,4187.34484141182
0,3,420.0,2093.0145003605976,5509.242443197183
0,4,480.0,2099.1205850403253,4983.862200211458
1,0,435.0,1853.4607405467825,4604.89495657876
1,1,435.0,1958.466424569258,4982.836355057114
1,2,465.0,1537.9815632898535,5044.888290810929
1,3,480.0,2245.860038627012,5125.423398044679
1,4,435.0,2049.322479403174,4882.447427310653
2,0,450.0,1557.7410518691738,5211.510606278113
2,1,480.0,2180.7558929604857,5837.469421212754
2,2,480.0,1966.782077231188,4724.536174197182
2,3,465.0,1534.461259425,5451.432926439898
2,4,435.0,2469.6077268480954,5788.905113648464
