hospital_id,day,open_minutes,hospital_open_cost,or_open_cost
0,0,465.0,1527.2500119508152,4312.071622679954
0,1,465.0,2023.586485221453,5669.181905190544
0,2,465.0,1718.2598726937294,4716.669313343347
0,3,420.0,2489.4317657796314,5825.7848894731505
0,4,420.0,2074.436755872206,5131.376344282012
1,0,420.0,1637.8852693560104,4365.344768479336
1,1,465.0,2188.7625408113654,4279.1977347196
1,2,450.0,2397.7435665097255,5152.944875115508
1,3,420.0,2245.1794953696144,5523.767223724888
1,4,435.0,1576.4398610394476,5563.011295484364
2,0,435.0,2395.8841811926595,4551.514808882563
2,1,435.0,2293.929385859965,4408.493517824335
2,2,480.0,1658.3039001056143,4033.512608984765
2,3,465.0,1551.7858887328168,5358.398302402338
2,4,435.0,2057.3105753143086,4153.136516867078
