hospital_id,day,open_minutes,hospital_open_cost,or_open_cost
0,0,465.0,1594.0361044342662,4337.708413355373
0,1,435.0,1856.6709741417649,5014.102207730883
0,2,465.0,2257.4818847894176,5196.225258738036
0,3,420.0,1776.441690583396,4066.7672035727624
0,4,450.0,1812.3491018855136,4727.38624951228
1,0,480.0,2142.6746576724236,5465.270469401666
1,1,435.0,1695.840812586919,5640.755014897946
1,2,480.0,2396.9579304235344,4626.323989634565
1,3,420.0,2020.1905232515546,5597.186544765503
1,4,450.0,1947.602940320217,5935.511754206777
2,0,480.0,2057.8201919292014,5713.747872150188
2,1,480.0,1666.0343134161953,4235.28797631865
2,2,435.0,2113.4731386391763,5479.460664171082
2,3,435.0,1863.1007366340104,4639.333664881089
2,4,450.0,2397.186340964619,5976.831978824153
