hospital_id,day,open_minutes,hospital_open_cost,or_open_cost
0,0,465.0,1538.9793206611305,4653.2784988518215
0,1,435.0,2166.847391305658,5496.367824097693
0,2,480.0,1823.0273457540939,5613.330106053633
0,3,435.0,2397.9191869576657,5716.046542014458
0,4,480.0,2388.118188934036,5995.256594804313
1,0,480.0,1825.2906183617479,4482.992970513736
1,1,465.0,2400.9608956904676,4080.7016537193995
1,2,435.0,2496.157673498779,4822.383035989172
1,3,465.0,2325.415664123948,4260.161339657894
1,4,465.0,2344.871347755229,4044.8517783241105
2,0,435.0,1749.00873610909,4720.8536542829725
2,1,420.0,2076.702398857756,5567.476502150473
2,2,420.0,1567.2559139673679,5132.361382450142
2,3,465.0,1594.9179368216696,4625.555978420708
2,4,450.0,2498.892612033291,5308.684010985439
