hospital_id,day,open_minutes,hospital_open_cost,or_open_cost
0,0,450.0,1545.3040097720445,4916.505780983033
0,1,450.0,1874.6126146264712,5091.23357863187
0,2,435.0,2125.859915714236,5882.929617553051
0,3,435.0,2003.1362585800878,4772.205275601548
0,4,450.0,2356.4898411883223,5922.381127647828
1,0,420.0,2158.693631618945,5810.701283912127
1,1,420.0,1662.9344270814297,4391.582269578593
1,2,465.0,1570.5687474004299,4138.722601750331
1,3,420.0,2142.4192782063155,4201.556002754854
1,4,450.0,1526.511310541622,4036.4436513030996
2,0,450.0,2085.775581273463,4188.885921511856
2,1,480.0,2440.2302414249575,5366.0135468327135
2,2,450.0,2075.474177875879,4142.377296920458
2,3,420.0,1888.169926206522,4637.9512605875225
2,4,465.0,2143.2882184423534,5689.750621938909
