hospital_id,day,open_minutes,hospital_open_cost,or_open_cost
0,0,435.0,2045.6868884954733,5053.247594537919
0,1,480.0,1944.4194527512016,4492.1393175959965
0,2,450.0,1514.6670570462638,4953.390950082318
0,3,435.0,2087.061707701151,4788.7306476367
0,4,465.0,1668.4443851427197,5098.828476860906
1,0,465.0,2142.5759689471897,5493.751432271645
1,1,465.0,2259.344327922866,5430.981814198549
1,2,435.0,2000.4453091307414,5042.468264970668
1,3,450.0,2042.3636649797384,5644.786837634116
1,4,435.0,2451.4785596659913,4861.724183076067
2,0,435.0,2347.1673613725743,5793.428579680245
2,1,480.0,2414.23651595147,4142.560540110328
2,2,480.0,2313.7662883195862,5909.320060066615
2,3,450.0,1608.9183418467314,5309.386162862696
2,4,480.0,1648.9918559701946,4760.149017874411
