hospital_id,day,open_minutes,hospital_open_cost,or_open_cost
0,0,435.0,2103.721531730139,4622.946342265514
0,1,420.0,1614.2673000556877,5560.991415092176
0,2,465.0,1914.5045842036277,4555.174345258836
0,3,450.0,2363.518140612957,4440.1944281621945
0,4,465.0,2422.960231798485,4425.361568682452
1,0,450.0,1965.700122318813,5030.347364813625
1,1,435.0,1980.8369780890735,5951.0826313655125
1,2,450.0,2418.4547249393013,4917.977976034026
1,3,450.0,2087.068224136567,5114.610737780096
1,4,435.0,1532.8466702434384,5721.264035781468
2,0,450.0,2412.7494628791287,5070.139437867318
2,1,420.0,1748.226442757152,4368.925742837712
2,2,480.0,2077.6319540915474,4599.191823532954
2,3,435.0,1665.5133174279738,4619.873852537222
2,4,480.0,1533.879160246595,4794.6362309151955
