hospital_id,day,open_minutes,hospital_open_cost,or_open_cost
0,0,465.0,2379.8164859419385,5517.35278022201
0,1,480.0,2157.560312778023,5356.757645710284
0,2,465.0,1810.9289300075543,5512.5293157829055
0,3,450.0,2242.3480505725092,5683.940742993417
0,4,435.0,2315.118384480368,4940.638108203571
1,0,435.0,2114.9782403411323,5004.100426976895
1,1,480.0,2187.884109879915,4249.428113822781
1,2,465.0,1875.2599044426663,4770.751766094723
1,3,420.0,2038.695667343039,5286.7303598235685
1,4,420.0,2024.1591707261623,5560.799552294549
2,0,420.0,2348.0477911307717,4434.418195382421
2,1,435.0,2339.9639802821825,4275.645798318471
2,2,435.0,2332.680469347043,5326.084009000984
2,3,465.0,1511.0316142624658,4003.759767049821
2,4,480.0,2249.5454844688884,4356.74516861466
