hospital_id,day,open_minutes,hospital_open_cost,or_open_cost
0,0,420.0,1531.3132924555587,5214.068495373369
0,1,420.0,2342.2847745949985,4551.998364045086
0,2,450.0,1949.7541333697657,4592.5470114081645
0,3,435.0,1895.1502360018144,4330.533878126005
0,4,435.0,2426.658865793794,4031.272813482388
1,0,435.0,2227.2719958564207,4846.802961412739
1,1,420.0,1826.5407688058353,4789.76303635114
1,2,480.0,2070.4439744053993,4586.976349436076
1,3,420.0,2020.8342600258238,4028.159645430169
1,4,480.0,2461.172024349349,4397.684808177611
2,0,465.0,2344.533848678151,5422.6839054973
2,1,420.0,2247.3201101373807,5580.351081062411
2,2,420.0,2039.6921323890797,5211.919949562023
2,3,420.0,2086.751165663848,5852.601757026698
2,4,435.0,2465.255307264138,5302.1540510038885
