hospital_id,day,open_minutes,hospital_open_cost,or_open_cost
0,0,480.0,2276.9280103272254,4674.680282034047
0,1,435.0,1704.9812095268164,5449.962339848105
0,2,450.0,2225.627200274416,5077.626018079238
0,3,465.0,2119.734571433089,4121.257852132936
0,4,450.0,2396.0751117945733,5379.999474617887
1,0,465.0,2347.1944390335816,5380.193116475687
1,1,480.0,1815.1470391325533,5861.2136096930735
1,2,465.0,1776.2373249751531,4994.624892337944
1,3,420.0,2481.653323852448,4460.501841421029
1,4,435.0,2027.2651809152567,4089.1276468973583
2,0,435.0,2406.420963914437,4831.284373371811
2,1,420.0,1663.881023780482,4603.833400155004
2,2,450.0,2142.8189148001743,5522.176612047751
2,3,420.0,2309.860187360586,4708.5355296820935
2,4,480.0,2447.395249586447,5898.142392629688
