hospital_id,day,open_minutes,hospital_open_cost,or_open_cost
0,0,420.0,1526.1967085320648,4266.959944831888
0,1,465.0,1524.1917638913553,4161.20302751425
0,2,465.0,2331.6970436757733,5455.8786139475305
0,3,480.0,1773.0708099728124,4992.9223047106
0,4,465.0,2018.0787662388154,4873.701405230359
1,0,480.0,1798.725573588773,5459.016457304793
1,1,450.0,2440.6792451153406,5531.02579798222
1,2,480.0,1759.2967588657739,4317.816335338707
1,3,420.0,1929.656812738935,5220.450298955282
1,4,420.0,2372.730250484602,4270.708164555371
2,0,480.0,2341.9335667918085,5502.750172058091
2,1,450.0,1686.1014178462774,5313.910312534279
2,2,450.0,2302.6433097957106,5913.229242166915
2,3,420.0,1958.1868867378926,4137.916032712842
2,4,450.0,1982.968872085355,4114.109442302509
