hospital_id,day,open_minutes,hospital_open_cost,or_open_cost
0,0,435.0,2017.4463517550412,4769.022655289625
0,1,480.0,1930.4274103209902,4975.334137242529
0,2,480.0,1816.9465877911193,5304.448519090945
0,3,420.0,1934.5959608587118,5901.0621051724065
0,4,480.0,2273.8796557301566,5201.302133096711
1,0,450.0,2101.9234310151314,5487.18783235312
1,1,465.0,2392.523289954846,5012.532118990405
1,2,420.0,1943.3800143791877,5268.208062752663
1,3,420.0,2107.089578718754,4141.864432267547
1,4,450.0,2131.3075530919887,4508.783161683694
2,0,450.0,2091.6971623063255,4723.706186410277
2,1,435.0,2202.633773085516,4944.986710013027
2,2,420.0,1737.4334683748064,4091.2974910047674
2,3,435.0,2012.3637775457905,4280.048195106636
2,4,480.0,1604.2248028083477,4553.628615582612
